ARTICULO,DESCRIPSION,MARCA,PRECIO,IMAGEN,CATEGORIA,GRUPO,REFERENCIA
10652,TIJERA INFERIOR F ESCAPE 13/19 LH,KUNYUAN,200000,https://res.cloudinary.com/r9vobuds/image/upload/v1790288647/catalogo_rimar/kxsscqniqk76rlffh5ig.jpg,Suspensión,,
39336,PASTILLAS FRENO DELANTERO C BLAZER 97/05,MOPAR,51039,https://res.cloudinary.com/r9vobuds/image/upload/v1790345229/catalogo_rimar/optj4hgghkshwq8n1phf.png,PASTILLAS,CHEVROLET,VAM15410
49582,VALVULA CALEFACCION D DURANGO 01/03,MOPAR,356845,https://res.cloudinary.com/r9vobuds/image/upload/v1790346370/catalogo_rimar/uyajfonuknpa7iv9s9e9.png,Sensores / Eléctrico,DODGE,55056055AA
49410,AIRBAG D JOURNEY 2.4L 2.7L 3.6L 09/10,MOPAR,764515,https://res.cloudinary.com/r9vobuds/image/upload/v1790365397/catalogo_rimar/k2c2tw2vzk3he1kbgywz.jpg,AIRBAG,DODGE,1ME31DK7AA
60100,BOMPER TRASERO D DURANGO 12/17,MOPAR,191102,https://res.cloudinary.com/r9vobuds/image/upload/v1790365691/catalogo_rimar/asb7lkjd32nrasmvazqh.png,BOMPER,DODGE,68092093AA
60065,CALCOMANIA PUERTA DELANTERA LH D DURANGO 1,MOPAR,19153,https://res.cloudinary.com/r9vobuds/image/upload/v1790366197/catalogo_rimar/vec3mgu7lyn0fpjb0sl9.png,CALCOMANIA,DODGE,57010263AE
48023,EMBLEMA CARNERO PERSIANA D JOURNEY 09/10,MOPAR,165636,https://res.cloudinary.com/r9vobuds/image/upload/v1790366624/catalogo_rimar/v3mkyushs4tqyv5oivmu.png,EMBLEMA,DODGE,5155674AA
60038,KIT TUERCAS DE SEGURIDAD RIN D RAM 1500 09/11,MOPAR,101864,https://res.cloudinary.com/r9vobuds/image/upload/v1790368202/catalogo_rimar/gkzdwbkruldnvxqg3lkc.png,Motor,DODGE,130024234
60036,MOTOR CANTONERA COMPUERTA D RAM 2500 11/18,MOPAR,254767,https://res.cloudinary.com/r9vobuds/image/upload/v1790369756/catalogo_rimar/uvf8816ryohsgxm7szlo.png,MOTOR,DODGE,4589584AG.
60007,PIN STOP TRASERO 1500 2500 3500 07/13,MOPAR,15301,https://res.cloudinary.com/r9vobuds/image/upload/v1790370119/catalogo_rimar/ronceexx8grwspktykz5.png,PIN,DODGE,68061648AA
50711,PURIFICADOR AIRE MOTOR D RAM 5.7L 04/13 SEGUN,MOPAR,254767,https://res.cloudinary.com/r9vobuds/image/upload/v1790370418/catalogo_rimar/os0dm9yqhvswjaydlmmx.png,PURIFICADOR,DODGE,53032405AC
58899,SOPORTE MARCO RADIADOR D DURANGO 11/13 LH,MOPAR,446083,https://res.cloudinary.com/r9vobuds/image/upload/v1790370861/catalogo_rimar/g0raj8pf8rmyymdup3cf.png,Soportes,DODGE,68227827AA
50884,SOPORTE MARCO RADIADOR D DURANGO 11/13 LH,MOPAR,700850,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Carroceria,DODGE,68100237AA
48982,STOP COMPUERTA D JOURNEY 09/10 LH,MOPAR,305806,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Carroceria,DODGE,4806369AF
60053,TAPA CONSOLA PRINCIPAL BARRA CAMBIOS GRAND,MOPAR,101864,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Carroceria,DODGE,1XH202X9AD
60037,TOPE GUARDAFANGO DEL D RAM 1500 2500 3500 11/1,MOPAR,25466,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Carroceria,DODGE,5182362AB
60096,VIDRIO PARABRISAS TRASERO D DURANGO 12/16,MOPAR,318646,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Carroceria,DODGE,68083561AC
41295,VIDRIO PUERTA TRASERA Y LATERAL D RAM VAN 01/,MOPAR,101864,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Carroceria,DODGE,55074706
60051,DISCOS SINCRONIZADORES SEGUNDA CAJA D RAM 6,MOPAR,318646,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Combustible,DODGE,52119639AA
48260,GUAYA ACELERADOR MOTOR D 2.0L NEON 95/99,MOPAR,121017,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Combustible,DODGE,4669698
40468,GUAYA ACELERADOR MOTOR D D600,MOPAR,12733,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Combustible,DODGE,2961343
60022,KIT MANOS LIBRES BLUETOOTH D JOURNEY DURANG,MOPAR,38199,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Combustible,DODGE,82212159
60063,LAME VIDRIO SUPERIOR TRASERO D JOURNEY 09/17,MOPAR,44619,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Combustible,DODGE,05076872AB
60040,PASTA RIEL DEL IMPULSADOR MOTOR D 5.7L HEMI 6.,MOPAR,25466,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Combustible,DODGE,53021727AC
48276,FILTRO ACEITE MOTOR D 2.0 NEON 95/05 WRANGLER,MOPAR,40660,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Filtros,DODGE,4105409AC
48212,FILTRO ACEITE MOTOR D 3.6L 11/13 JOURNEY WRAN,MOPAR,42800,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Filtros,DODGE,68079744AD
50195,FILTRO ACEITE MOTOR D 3.6L 14/22 JOURNEY WRAN,MOPAR,42800,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Filtros,DODGE,68191349AC
48553,FILTRO AIRE MOTOR D 2.4L 09/20 2.7L 09/10 JOURNE,MOPAR,90950,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Filtros,DODGE,4891916AA
50686,FILTRO AIRE MOTOR D 6.4L CHARGER SRT 12/15,MOPAR,178369,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Filtros,DODGE,4861746AB
49338,FILTRO CABINA D 4.0L 07/08 PACIFICA CARAVAN 3.3L,MOPAR,101864,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Filtros,DODGE,82205905
41239,FILTRO GASOLINA D 3.9L DAKOTA 88/89,MOPAR,35738,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Filtros,DODGE,04443454
60060,EMPAQUE VENTANA PUERTA DELANTERA RH D JOUR,MOPAR,63665,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Frenos,DODGE,5076870AD
43008,GUAYA ACELERADOR D CARAVAN 90/95 DAKOTA 89/,MOPAR,38199,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Frenos,DODGE,4300839
48326,KIT PISTONES Y LIGAS CALIPER DELANTERO D RAM 2,MOPAR,230050,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Frenos,DODGE,68049147AB
40220,LIGAS CALIPER D RAM VAN 3500 94/97,MOPAR,27927,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Frenos,DODGE,4186988
41298,PERA FRENO D RAM VAN 1500 3500 92/94,MOPAR,44619,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Frenos,DODGE,56006819
48366,SENSOR ABS TRASERO D CARAVAN 04/05 RH DISCO,MOPAR,203942,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Frenos,DODGE,4721042AD
60146,TUBO FRENO DELANTERO VARIOS,MOPAR,12733,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Frenos,DODGE,CATCK131AA
41272,VALVULA LIMITADORA FRENO D RAM VAN 94,MOPAR,101864,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Frenos,DODGE,52007312
60155,ADAPTADOR CORRIENTE AL TRAILER VARIOS,MOPAR,38199,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Limpiabrisas,DODGE,82210512AC
49132,ACEITE HIDRAULICO ATF+4 CAJA AUTOMATIC .00 68218057AC,MOPAR,0,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Liquidos,DODGE,*
49004,ACEITE HIDRAULICO CVT+4 CAJA AUTOMATIC,MOPAR,55640,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Liquidos,DODGE,5191184AA
51014,ACEITE MOTOR 5W20 5 LITROS,MOPAR,176471,https://res.cloudinary.com/r9vobuds/image/upload/v1790371131/catalogo_rimar/rvuk49inauf2umhnquxs.webp,Motor,DODGE,68218891AC
51015,ACEITE MOTOR 5W30 5 LITROS 68518205AA,MOPAR,176471,https://res.cloudinary.com/r9vobuds/image/upload/v1790371131/catalogo_rimar/fqrnx3skjp1rrjjpkmjq.webp,Motor,DODGE,*
60184,BALANCINES MOTOR D 3.6L 24V 11/14 JOURNEY WR,MOPAR,85600,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,5184296AH
44587,DAMPER CIGUEÑAL MOTOR D-318 5.2L 84/87,MOPAR,44619,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,4173184
50643,EMPAQUE MULTIPLE ESCAPE D 2.7 09/10 JOURNEY R,MOPAR,57352,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,4663992
60133,ESPARRAGO D RAM 2500 3500 09/11,MOPAR,17762,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,68049119AA
48070,FUNDA VARILLA ACEITE MOTOR D 2.0L 16V 00/05 NE,MOPAR,19153,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,4667352
60176,MOTOR COMPLETO REMANUFACTURADO D JOURNE,MOPAR,7645685,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,MOT3.5L
48065,PIÑON LEVAS MOTOR D 2.0L SOHC 16V 00/05 NEON,MOPAR,73937,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,4667602
50640,PISTON CON BIELA MOTOR D 2.7L 09/10 JOURNEY ST,MOPAR,1401700,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,5018627AD
41281,POLEA CIGUEÑAL MOTOR D 3.9L 94/03 5.2L 94/01 5.9,MOPAR,57352,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,53010222
47734,POLEA LOCA MOTOR D 2.0L 02 PT 4777394,MOPAR,114704,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,*
51077,POMA ACEITE MOTOR D 2.7L 09/10 JOURNEY 2DA,MOPAR,127437,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,4792402ABX
41285,POMA CARTER MOTOR D 5.9L 93/,MOPAR,159323,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,53020462
51084,RESORTE VALVULAS MOTOR D 2.7L 09/10 JOURNEY 2,MOPAR,12733,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,4663801X
60085,RIEL CARPA PLATON D RAM 09/15,MOPAR,121017,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,82211058
51211,SOPORTE DELANTERO MOTOR J 2.4L 07/14 COMPAS,MOPAR,433243,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,5105494AD
49865,SOPORTE MOTOR D 3.0L 3.3L 97/00 CARAVAN,MOPAR,305806,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,4612427AB
49845,SOPORTE MOTOR D 5.7L 2WD RAM 1500 2500 10/13 L,MOPAR,318646,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,52122712AB
60147,TAPA CON EMPAQUE DIFERENCIAL D RAM 1500 2500,MOPAR,152903,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,5086904AB
50288,TENSOR CADENA MOTOR D 3.6L 14/15,MOPAR,17762,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,05184392AD
41270,TENSOR CORREA REPARTICION MOTOR D 2.0L 01/02 4777393AC,MOPAR,318646,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,*
49099,TENSOR HIDRAULICO CADENA PRIMARIA MOTOR D 3.,MOPAR,458709,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,05047891AA
51002,TORNILLO POLEA LOCA MOTOR D 3.6L 11/17 JOURNE,MOPAR,31886,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,6510429AA
60014,TORNILLO TIJERA INFERIOR DELANTERA D JOURNEY,MOPAR,27927,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,6508844AA
50751,VALVULA IAC MOTOR D 3.3L 90/97 GRAND CARAVAN,MOPAR,293073,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,4861083AB
40289,VARILLA BOMBA ACEITE MOTOR D 361 74 CADENA,MOPAR,63665,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,1739604
48027,VARILLA MEDIR ACEITE MOTOR D 4.7L 00/03 DAKOTA,MOPAR,35738,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Motor,DODGE,53021719AD
60071,CABLEADO DE LUCES D JOURNEY 12/15,MOPAR,63665,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Parte Electrica,DODGE,68142412AF
49651,FUSIBLE DEL FRENO 10 AMPERIOS 11/13 JOURNEY,MOPAR,5029,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Parte Electrica,DODGE,68100731AA
50970,KIT LUCES BIXENON H 13 UNIVERSALES,MOPAR,203942,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Parte Electrica,DODGE,130000515
60128,PLACA CUERPO DE VALVULAS 62TE D J VARIOS,MOPAR,63665,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Parte Electrica,DODGE,5078822AC
50805,RAMAL PERA ACEITE MOTOR J D 3.6L 12/16 JOURNEY,MOPAR,191102,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Parte Electrica,DODGE,5148105AH
49622,SENSOR IMPACTO PUERTA AIR BAG D JOURNEY 09/1,MOPAR,95658,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Parte Electrica,DODGE,56054047AC
49866,SENSOR POSICION EJE LEVAS MOTOR D 2.4L 09/14,MOPAR,350000,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Parte Electrica,DODGE,68080819AC
50365,SOPORTE ALTERNADOR D 225 65/69 DART CORONET,MOPAR,38199,https://images.unsplash.com/photo-1486006920555-c77dce18193b?w=400,Parte Electrica,DODGE,2658893
